id,plantilla_mp_id,orden,descripcion,obligatorio
a1109818-dc5a-4578-bbff-b4f4d4d46f9c,0f41cbea-a285-460a-a8b7-3fe317a32fda,5,Verificar batería interna y autonomía,true
a43c7da1-b41c-4810-a4c8-74df3a901ca1,5b2a74bb-c194-438d-86ca-d68fd56d5ba0,4,Verificar alarmas y sistema de retorno de paciente,true
a5eb8cb6-7d6e-4c70-b288-440a30f1eafd,8e425359-661b-4329-be8d-05fc93a78cb3,2,Verificar estanqueidad del circuito respiratorio,true
a8a1e4e2-242a-4e6f-bb76-3d2100339b8d,b163a0e5-b7e4-477c-bec1-0528d687cc3c,4,Verificar platina y sistema de enfoque fino y grueso,true
a9dcf1a2-03c7-492e-992a-9849d14e18af,c868aecb-edd0-4d11-972b-77e4c2a4aaef,1,Inspección visual del equipo,true
b302085c-8139-42ef-99b9-147c96f2d1af,f0f6c0e9-0492-40a5-875e-d40ff5dc9411,4,Verificar alarmas y sincronismo (modo cardioversión),true
ba91cc41-5d38-47ea-b80e-405d52662450,ca2ebd87-b73f-44f3-a218-e4380bb947b4,1,"Inspección visual de cámara, fuente de luz y cable",true
bdc01ec0-021c-487a-af4a-126372f61840,0f41cbea-a285-460a-a8b7-3fe317a32fda,4,"Limpiar pantalla, carcasa y conectores",true
c3297eac-7a18-4cb6-ac0e-eb399edf5de3,50d8c00c-bc6c-4063-a879-2e2c689b53af,1,Inspección visual del equipo y acrílico,true
c6135713-669e-437a-97a5-283f98f79995,b163a0e5-b7e4-477c-bec1-0528d687cc3c,3,Verificar sistema de iluminación y diafragma,true
cce9c2a0-05d8-4026-ab82-63434a1986f2,5b2a74bb-c194-438d-86ca-d68fd56d5ba0,1,"Inspección visual del equipo, cables y pedales",true
cf756a75-3c4c-48df-ae59-0fed67d761bb,2779cb0a-db18-455d-9931-faeade9b61a1,3,Verificar estanqueidad del circuito,true
d072d09b-ff6c-4fa1-82ef-ce9bcb5c260b,c868aecb-edd0-4d11-972b-77e4c2a4aaef,2,Verificar exactitud de caudal de infusión,true
d11aa36d-b5cd-4593-9d73-7c8cdecf3356,62b4b9a4-97c6-4ba4-bbc0-8acf243ff9a9,3,Verificar exactitud e imprecisión según norma ISO 8655,true
dff23705-4181-464a-bdc9-a536c123758a,897b2a83-af29-4c2e-8f1b-830acee20d98,5,Prueba funcional con phantom de ultrasonido,false
e87b3c33-9c40-43db-b254-61b03446c90e,2779cb0a-db18-455d-9931-faeade9b61a1,1,Inspección visual del equipo y circuito paciente,true
e9cec385-a4d5-44fc-9a2b-1bbf7bdffd1d,62b4b9a4-97c6-4ba4-bbc0-8acf243ff9a9,1,"Inspección visual del émbolo, punta y cuerpo",true
f0cb9627-c0e4-43cd-bd50-e55bb09ce4e6,2779cb0a-db18-455d-9931-faeade9b61a1,4,"Verificar alarmas de apnea, presión y volumen",true
f497421a-8cf9-44a4-a7e5-a44199ed1238,f0f6c0e9-0492-40a5-875e-d40ff5dc9411,1,"Inspección visual del equipo, paletas y cables ECG",true
f947af1f-a733-47a7-801c-5a780fbfb44a,8e425359-661b-4329-be8d-05fc93a78cb3,3,Calibrar sensores de flujo y presión,true
ffa7b4f5-5e18-4e74-9b2d-9f00da8273df,2779cb0a-db18-455d-9931-faeade9b61a1,5,Prueba funcional con pulmón de prueba,true
